ADDRESS;CITY;ENTITY_ID;LATITUDE;LOADER_TYPE;LONGITUDE;NUMBER_OF_CHARGING_POINTS;OPERATING_COMPANY;PLUG_TYPES_1;PLUG_TYPES_2;PLUG_TYPES_3;PLUG_TYPES_4;POWER_1_KW;POWER_2_KW;POWER_3_KW;POWER_4_KW;START_UP_DATE;ZIP_CODE
Lennéstraße 1;Dresden;1002;51.04368;Schnellladeeinrichtung;13.75427;2;Volkswagen Sachsen GmbH, Die Gläserne Manufaktur;DC Kupplung Combo, DC CHAdeMO;AC Kupplung Typ 2;;;50.0;43.0;0.0;0.0;01.10.16;1069
Antonstraße 24;Dresden;1003;51.064823;Schnellladeeinrichtung;13.739641;2;DREWAG Stadtwerke Dresden GmbH;DC Kupplung Combo, DC CHAdeMO;AC Kupplung Typ 2, AC Schuko;;;50.0;43.0;0.0;0.0;04.09.17;1097
Wigardstraße 2;Dresden;1004;51.57566;Normalladeeinrichtung;13.4964;4;DREWAG Stadtwerke Dresden GmbH;AC Steckdose Typ 2;AC Schuko;AC Steckdose Typ 2;AC Schuko;22.0;3.7;22.0;3.7;22.10.18;1097
Scharfenberger Straße 66;Dresden;1006;51.072415;Normalladeeinrichtung;13.688326;4;DREWAG Stadtwerke Dresden GmbH;AC Steckdose Typ 2;AC Schuko;AC Steckdose Typ 2;AC Schuko;22.0;3.7;22.0;3.7;22.10.18;1139
Rudolf-Walther-Straße 2;Dresden;1007;51.037086;Normalladeeinrichtung;13.636646;2;innogy SE;AC Steckdose Typ 2;AC Steckdose Typ 2;;;22.0;22.0;0.0;0.0;11.10.12;1156
Gompitzer Höhe 2;Dresden;1008;51.040065;Schnellladeeinrichtung;13.631414;2;DREWAG Stadtwerke Dresden GmbH;DC Kupplung Combo, DC CHAdeMO;AC Kupplung Typ 2;;;50.0;22.0;0.0;0.0;25.06.18;1156
Fabrikstraße 5;Dresden;1009;51.041247;Normalladeeinrichtung;13.709192;4;DREWAG Stadtwerke Dresden GmbH;AC Steckdose Typ 2;AC Schuko;AC Steckdose Typ 2;AC Schuko;22.0;3.7;22.0;3.7;22.10.18;1159
Löbtauer Straße 21;Dresden;1010;51.052879;Normalladeeinrichtung;13.71865;4;DREWAG Stadtwerke Dresden GmbH;AC Steckdose Typ 2;AC Schuko;AC Steckdose Typ 2;AC Schuko;22.0;3.7;22.0;3.7;22.10.18;1159
Bayrische Straße 0;Dresden;1011;51.039073;Schnellladeeinrichtung;13.732656;2;DREWAG Stadtwerke Dresden GmbH;AC Steckdose Typ 2;DC Kupplung Combo, DC CHAdeMO;;;22.0;50.0;0.0;0.0;26.09.18;1169
Dohnaer Str.;Dresden;1012;51.013771;Normalladeeinrichtung;13.773643;2;DREWAG Stadtwerke Dresden GmbH;AC Steckdose Typ 2;AC Steckdose Typ 2;;;11.0;11.0;0.0;0.0;02.12.18;1219
Fiedlerstraße 21a;Dresden;1013;51.054563;Normalladeeinrichtung;13.781678;4;DREWAG Stadtwerke Dresden GmbH;AC Steckdose Typ 2;AC Steckdose Typ 2;AC Steckdose Typ 2;AC Steckdose Typ 2;22.0;22.0;22.0;22.0;22.10.18;1307
Berthold-Brecht-Allee 22;Dresden;1014;51.041015;Normalladeeinrichtung;13.780581;4;DREWAG Stadtwerke Dresden GmbH;AC Steckdose Typ 2;AC Schuko;AC Steckdose Typ 2;AC Schuko;22.0;3.7;22.0;3.7;22.10.18;1309
Hüblerstr.8;Dresden;1015;51.0517908;Normalladeeinrichtung;13.8047302;2;APCOA PARKING Deutschland GmbH;AC Steckdose Typ 2;AC Steckdose Typ 2;;;11.0;11.0;0.0;0.0;01.12.16;1309
Leonardo-da-Vinci-Straße 0A;Dresden;1016;51.013049;Normalladeeinrichtung;13.864731;2;DREWAG Stadtwerke Dresden GmbH;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;11.0;11.0;0.0;0.0;28.06.16;1326
Sidonienstraße 1c;Radebeul;1017;51.098846;Normalladeeinrichtung;13.679916;4;ENSO Energie Sachsen Ost AG;AC Steckdose Typ 2;AC Schuko;AC Steckdose Typ 2;AC Schuko;22.0;3.7;22.0;3.7;22.10.18;1445
Schlossallee 2;Moritzburg;1018;51.164053;Normalladeeinrichtung;13.678783;4;ENSO Energie Sachsen Ost AG;AC Steckdose Typ 2;AC Schuko;AC Steckdose Typ 2;AC Schuko;22.0;3.7;22.0;3.7;22.10.18;1468
Schillerstraße 37;Großenhain;1019;51.294624;Schnellladeeinrichtung;13.53385;2;ENSO Energie Sachsen Ost AG;DC Kupplung Combo, DC CHAdeMO;AC Kupplung Typ 2;;;50.0;22.0;0.0;0.0;19.09.18;1558
Am Bobersberg;Großenhain;1020;51.28819912;Normalladeeinrichtung;13.5400663;2;Danpower-Gruppe;AC Steckdose Typ 2;AC Steckdose Typ 2;;;22.0;22.0;0.0;0.0;25.08.17;1558
Am Fiebig 3;Thiendorf;1021;51.039026;Schnellladeeinrichtung;13.732736;2;ENSO Energie Sachsen Ost AG;DC Kupplung Combo, DC CHAdeMO;AC Kupplung Typ 2;;;50.0;43.0;0.0;0.0;17.10.16;1561
Alleestraße 81 y;Riesa;1022;51.320246;Normalladeeinrichtung;13.262848;2;Stadtwerke Riesa GmbH;AC Steckdose Typ 2;AC Steckdose Typ 2;;;22.0;22.0;0.0;0.0;01.12.18;1591
Moritzburger Straße 2;Coswig;1023;51.129769;Normalladeeinrichtung;13.581259;3;ENSO Energie Sachsen Ost AG;AC Steckdose Typ 2;AC Schuko;AC Steckdose Typ 2;AC Schuko;22.0;3.7;22.0;3.7;22.10.18;1640
Niederauer Str. 44;Meißen;1024;51.167403;Normalladeeinrichtung;13.500904;2;innogy SE;AC Steckdose Typ 2;AC Steckdose Typ 2;;;22.0;22.0;0.0;0.0;26.07.11;1662
Im Industriegebiet 1;Nossen;1025;51.082727;Schnellladeeinrichtung;13.274002;2;Allego GmbH;DC Kupplung Combo;AC Kupplung Typ 2;;;53.0;22.0;0.0;0.0;07.04.17;1683
Im Industriegebiet 1;Nossen;1026;51.082727;Schnellladeeinrichtung;13.274002;2;Allego GmbH;DC Kupplung Combo;AC Kupplung Typ 2;;;53.0;22.0;0.0;0.0;07.04.17;1683
Im Industriegebiet 1;Nossen;1027;51.082727;Schnellladeeinrichtung;13.274002;2;Allego GmbH;DC Kupplung Combo, DC CHAdeMO;AC Kupplung Typ 2;;;50.0;43.0;0.0;0.0;07.04.17;1683
Dresdner Tor Nord;Wilsdruff;1028;51.06322;Schnellladeeinrichtung;13.56221;2;Autobahn Tank & Rast GmbH;DC Kupplung Combo, DC CHAdeMO;AC Kupplung Typ 2;;;50.0;42.0;0.0;0.0;13.07.17;1723
Dresdner Tor Süd;Wilsdruff;1029;51.06118;Schnellladeeinrichtung;13.56956;2;Autobahn Tank & Rast GmbH;DC Kupplung Combo, DC CHAdeMO;AC Kupplung Typ 2;;;50.0;42.0;0.0;0.0;04.08.17;1723
Dresdner Straße 26;Tharandt;1030;50.98294;Normalladeeinrichtung;13.588637;4;ENSO Energie Sachsen Ost AG;AC Steckdose Typ 2;AC Schuko;AC Steckdose Typ 2;AC Schuko;22.0;3.7;22.0;3.7;22.10.18;1737
Dresdner Str. 17;Altenberg;1031;50.764811;Normalladeeinrichtung;13.755286;3;ENSO Energie Sachsen Ost AG;DC Kupplung Combo, DC CHAdeMO;AC Steckdose Typ 2;AC Schuko;;20.0;20.0;3.7;0.0;19.05.16;1773
Dresdner Straße 17;Altenberg;1032;50.764811;Normalladeeinrichtung;13.755286;3;ENSO Energie Sachsen Ost AG;DC Kupplung Combo, DC CHAdeMO;AC Steckdose Typ 2;AC Schuko;;20.0;22.0;3.7;0.0;22.10.18;1773
Obere Burgstraße 6b;Pirna;1033;50.961326;Normalladeeinrichtung;13.944001;4;Energieversorgung Pirna GmbH;AC Steckdose Typ 2;AC Schuko;AC Steckdose Typ 2;AC Schuko;22.0;3.7;22.0;3.7;22.10.18;1796
Am Markt 2;Dohna;1034;50.955056;Normalladeeinrichtung;13.857779;2;ENSO Energie Sachsen Ost AG;AC Steckdose Typ 2;AC Steckdose Typ 2;;;11.0;11.0;0.0;0.0;08.12.16;1809
Dresdner Str. 3;Bad;1035;50.918421;Normalladeeinrichtung;14.149496;3;ENSO Energie Sachsen Ost AG;DC Kupplung Combo, DC CHAdeMO;AC Steckdose Typ 2;AC Schuko;;20.0;22.0;3.7;0.0;06.04.16;1814
Dresdner Straße 3;Bad;1036;50.918452;Normalladeeinrichtung;14.149507;2;ENSO Energie Sachsen Ost AG;DC Kupplung Combo, DC CHAdeMO;AC Steckdose Typ 2;AC Schuko;;20.0;22.0;3.7;0.0;22.10.18;1814
Elbweg 13;Kurort;1037;50.956012;Normalladeeinrichtung;14.079159;4;ENSO Energie Sachsen Ost AG;AC Steckdose Typ 2;AC Schuko;AC Steckdose Typ 2;AC Schuko;22.0;3.7;22.0;3.7;22.10.18;1824
Elbufer 5;Stadt;1038;50.956385;Normalladeeinrichtung;14.032453;4;ENSO Energie Sachsen Ost AG;AC Steckdose Typ 2;AC Schuko;AC Steckdose Typ 2;AC Schuko;22.0;3.7;22.0;3.7;29.11.18;1829
Altmarkt 14;Bischofswerda;1039;51.127646;Normalladeeinrichtung;14.180383;2;ENSO Energie Sachsen Ost AG;AC Steckdose Typ 2;AC Steckdose Typ 2;;;11.0;11.0;0.0;0.0;04.05.17;1877
Markt 2;Kamenz;1040;51.269848;Normalladeeinrichtung;14.095198;2;ewag kamenz Energie und Wasserversorgung AG Kamenz;AC Steckdose Typ 2;AC Steckdose Typ 2;;;22.0;22.0;0.0;0.0;11.12.17;1917
Schulplatz 5;Kamenz;1041;51.271285;Normalladeeinrichtung;14.094098;2;ewag kamenz Energie und Wasserversorgung AG Kamenz;AC Steckdose Typ 2;AC Steckdose Typ 2;;;22.0;22.0;0.0;0.0;11.12.17;1917
Macherstraße 55/ Parkplatz Garnisonsplatz;Kamenz;1042;51.282579;Normalladeeinrichtung;14.105646;2;ewag kamenz Energie und Wasserversorgung AG Kamenz;AC Steckdose Typ 2;AC Steckdose Typ 2;;;22.0;22.0;0.0;0.0;11.12.17;1917
Oberlausitz Nord;Bautzen;1043;51.199484;Schnellladeeinrichtung;14.331987;2;Autobahn Tank & Rast GmbH;DC Kupplung Combo, DC CHAdeMO;AC Kupplung Typ 2;;;50.0;42.0;0.0;0.0;04.05.17;2625
Oberlausitz Süd;Bautzen;1044;51.198549;Schnellladeeinrichtung;14.328689;2;Autobahn Tank & Rast GmbH;DC Kupplung Combo, DC CHAdeMO;AC Kupplung Typ 2;;;50.0;42.0;0.0;0.0;28.07.17;2625
Löbauer Strasse 62;Bautzen;1045;51.177675;Normalladeeinrichtung;14.455208;1;Autohaus Kiethe OHG;AC Steckdose Typ 2;;;;3.7;0.0;0.0;0.0;10.11.16;2625
Muskauer Str. 31;Bautzen;1046;51.18594;Normalladeeinrichtung;14.437878;2;Autohaus Ruffert GmbH;AC Steckdose Typ 2;AC Steckdose Typ 2;;;11.0;11.0;0.0;0.0;29.09.18;2625
Niedermarkt 1a;Schirgiswalde-Kirschau;1047;51.077641;Normalladeeinrichtung;14.432227;4;ENSO Energie Sachsen Ost AG;AC Steckdose Typ 2;AC Schuko;AC Steckdose Typ 2;AC Schuko;22.0;3.7;22.0;3.7;22.10.18;2681
